months,CAGR,annualized_arithmetic_mean,annualized_volatility,zero_rate_Sharpe,ending_growth_of_1,max_drawdown,recovery_return_required,months_underwater,share_months_underwater,longest_underwater_run_months,drawdown_area_months,low_threshold,high_threshold,base_return_path,is_legacy_rule,average_unhedged_weight,state_changes,fixed50_gross_cagr,cagr_improvement_vs_fixed50
218,0.1264467661006387,0.1231353432007071,0.0843056172126192,1.460582903866999,8.697822714501633,-0.0728999619365088,0.0786322499660132,109,0.5,14,2.3867775305084806,-1.5,1.0,gross_underlying,False,0.3568807339449541,35,0.1198984073041455,0.006548358796493209
218,0.1117938436267702,0.109919794558289,0.0842926186359852,1.3040263351287484,6.856578910927174,-0.073622293756885,0.0794733004267309,119,0.5458715596330275,15,2.918952813178107,-1.5,1.0,net25_underlying,False,0.3568807339449541,35,0.1198984073041455,-0.008104563677375304
218,0.1276958077776198,0.124044294043284,0.081746756146088,1.5174216065724593,8.87470749624307,-0.0728999619365087,0.0786322499660131,106,0.4862385321100917,12,2.2370433180273124,-1.5,1.5,gross_underlying,False,0.4174311926605504,35,0.1198984073041455,0.007797400473474297
218,0.1130266376554733,0.1108251707476131,0.081703647034881,1.3564286879421603,6.996018918382164,-0.073622293756885,0.0794733004267309,116,0.5321100917431193,13,2.694313564841594,-1.5,1.5,net25_underlying,False,0.4174311926605504,35,0.1198984073041455,-0.006871769648672199
218,0.1296335077109367,0.1256237665961901,0.0798289744419771,1.573661286197513,9.155859470608236,-0.0693010744159101,0.0744613241843145,104,0.4770642201834862,11,1.72763625974402,-1.5,2.0,gross_underlying,False,0.4761467889908257,19,0.1198984073041455,0.009735100406791208
218,0.1149391318109809,0.1124014618473131,0.0797706679945859,1.4090575480067675,7.217653775917675,-0.0702627968899004,0.0755727496488918,115,0.5275229357798165,12,2.128884141175531,-1.5,2.0,net25_underlying,False,0.4761467889908257,19,0.1198984073041455,-0.0049592754931646055
218,0.122171107537959,0.1191898519620732,0.0829025524822943,1.4377102802417183,8.117207914834053,-0.0938999682430327,0.1036309071316956,108,0.4954128440366973,12,1.938557820023148,-1.5,2.5,gross_underlying,False,0.4926605504587155,10,0.1198984073041455,0.002272700233813499
218,0.1075738032214055,0.1059747933285096,0.0828431603753136,1.2792220003244708,6.398874572560358,-0.0946059383201659,0.1044914499932081,119,0.5458715596330275,13,2.3656139996785672,-1.5,2.5,net25_underlying,False,0.4926605504587155,10,0.1198984073041455,-0.012324604082739998
218,0.128694042120963,0.1252271637337704,0.085267239534869,1.468643343174728,9.018512099058096,-0.0728999619365089,0.0786322499660133,108,0.4954128440366973,14,2.4104556377241435,-1.0,1.0,gross_underlying,False,0.3752293577981651,43,0.1198984073041455,0.0087956348168175
218,0.1140118868752548,0.1120101542070408,0.0852620368379442,1.3137166124700517,7.109381496503225,-0.073622293756885,0.0794733004267309,118,0.5412844036697247,15,2.9446999618368794,-1.0,1.0,net25_underlying,False,0.3752293577981651,43,0.1198984073041455,-0.005886520428890693
218,0.1299455756524139,0.1261361145763473,0.0827362002432542,1.5245577414178104,9.201918636146372,-0.0728999619365088,0.0786322499660132,105,0.481651376146789,12,2.26072142524298,-1.0,1.5,gross_underlying,False,0.4357798165137614,43,0.1198984073041455,0.01004716834826841
218,0.115247140344157,0.1129155303963649,0.0827015019663349,1.3653383277407611,7.2539626676311295,-0.0736222937568851,0.079473300426731,115,0.5275229357798165,13,2.720060713500365,-1.0,1.5,net25_underlying,False,0.4357798165137614,43,0.1198984073041455,-0.004651266959988493
218,0.1318871413224223,0.1277155871292535,0.0808384725915927,1.5798861981780703,9.49343670517516,-0.0693010744159101,0.0744613241843145,103,0.4724770642201835,11,1.7513143669596838,-1.0,2.0,gross_underlying,False,0.4944954128440367,27,0.1198984073041455,0.011988734018276798
218,0.1171634499504998,0.1144918214960649,0.0807889860131797,1.4171711658491055,7.483769219209208,-0.0702627968899005,0.0755727496488919,114,0.5229357798165137,12,2.1546312898343007,-1.0,2.0,net25_underlying,False,0.4944954128440367,27,0.1198984073041455,-0.0027349573536456923
218,0.1244098535635707,0.1212816724951365,0.0838884982256149,1.4457485240581378,8.416489987597497,-0.0938999682430327,0.1036309071316956,107,0.4908256880733945,12,1.9622359272388104,-1.0,2.5,gross_underlying,False,0.5110091743119266,18,0.1198984073041455,0.004511446259425206
218,0.1097834274341278,0.1080651529772614,0.0838375771107809,1.288982300078482,6.634801564393266,-0.0946059383201658,0.1044914499932079,118,0.5412844036697247,13,2.3913611483373427,-1.0,2.5,net25_underlying,False,0.5110091743119266,18,0.1198984073041455,-0.010114979870017693
218,0.1293527087087751,0.1258858808921593,0.0860864895524389,1.4623186698242223,9.114601676916749,-0.0728999619365088,0.0786322499660132,107,0.4908256880733945,14,2.352036126786173,-0.5,1.0,gross_underlying,False,0.4119266055045871,45,0.1198984073041455,0.009454301404629606
218,0.1146619854679003,0.112666980079494,0.0860652562008935,1.3090878369839134,7.185129852698978,-0.073622293756885,0.0794733004267309,117,0.536697247706422,15,2.849506131300948,-0.5,1.0,net25_underlying,False,0.4119266055045871,45,0.1198984073041455,-0.005236421836245203
218,0.1306049725916673,0.1267948317347362,0.0835796633526463,1.5170536306152949,9.299962356388122,-0.0728999619365088,0.0786322499660132,104,0.4770642201834862,11,2.202129689083116,-0.5,1.5,gross_underlying,False,0.4724770642201835,45,0.1198984073041455,0.010706565287521813
218,0.1158979597877656,0.1135723562688182,0.0835287510830932,1.3596798084031925,7.331251493424014,-0.0736222937568851,0.079473300426731,114,0.5229357798165137,12,2.6363624785070114,-0.5,1.5,net25_underlying,False,0.4724770642201835,45,0.1198984073041455,-0.004000447516379901
218,0.1325476712918747,0.1283743042876424,0.0817004635422274,1.5712799991800697,9.594586464182909,-0.0693010744159101,0.0744613241843145,102,0.4678899082568807,7,1.704703567278151,-0.5,2.0,gross_underlying,True,0.5311926605504587,29,0.1198984073041455,0.012649263987729198
218,0.117815387685747,0.1151486473685182,0.0816345560269864,1.410538048745593,7.563506565809929,-0.0702627968899006,0.075572749648892,114,0.5229357798165137,12,2.0824693480988112,-0.5,2.0,net25_underlying,True,0.5311926605504587,29,0.1198984073041455,-0.0020830196183985045
218,0.1250660200479416,0.1219403896535254,0.084723649807527,1.4392721504626684,8.506165197995493,-0.0938999682430327,0.1036309071316956,106,0.4862385321100917,8,1.9039367269301877,-0.5,2.5,gross_underlying,False,0.5477064220183486,20,0.1198984073041455,0.005167612743796096
218,0.1104310584449064,0.1087219788497146,0.0846568756113472,1.2842663760572537,6.705493411839488,-0.0946059383201659,0.1044914499932081,117,0.536697247706422,12,2.3191906560486046,-0.5,2.5,net25_underlying,False,0.5477064220183486,20,0.1198984073041455,-0.009467348859239097
218,0.1319427751435657,0.1282660596428362,0.0868543935070316,1.4767941432053386,9.501917131817493,-0.0728999619365088,0.0786322499660132,106,0.4862385321100917,14,2.408907404406592,0.0,1.0,gross_underlying,False,0.4541284403669725,49,0.1198984073041455,0.0120443678394202
218,0.1172183600818139,0.1150441057024573,0.0868266729389859,1.324985765414508,7.490454422665305,-0.073622293756885,0.0794733004267309,116,0.5321100917431193,15,2.88289124787028,0.0,1.0,net25_underlying,False,0.4541284403669725,49,0.1198984073041455,-0.0026800472223316024
218,0.1331979109783521,0.129175010485413,0.0843682397287381,1.5310857604797514,9.695154519282802,-0.0728999619365089,0.0786322499660133,103,0.4724770642201835,11,2.2590009667035416,0.0,1.5,gross_underlying,False,0.5146788990825688,49,0.1198984073041455,0.013299503674206598
218,0.1184571689949605,0.1159494818917815,0.0843109406566939,1.3752602092760025,7.642785349517632,-0.0736222937568851,0.079473300426731,113,0.518348623853211,14,2.672699768634745,0.0,1.5,net25_underlying,False,0.5146788990825688,49,0.1198984073041455,-0.0014412383091849945
218,0.1351450650791241,0.1307544830383192,0.0825031880184413,1.5848415822318604,10.002298370054856,-0.0693010744159101,0.0744613241843145,101,0.463302752293578,8,1.7615748448985742,0.0,2.0,gross_underlying,False,0.573394495412844,33,0.1198984073041455,0.015246657774978606
218,0.1203789943372488,0.1175257729914815,0.0824309153760423,1.425748730986907,7.884909858024052,-0.0702627968899005,0.0755727496488919,113,0.518348623853211,14,2.118714834710186,0.0,2.0,net25_underlying,False,0.573394495412844,33,0.1198984073041455,0.0004805870331033024
218,0.1276462553570518,0.1243205684042022,0.085512988486263,1.4538208827092196,8.867625781782289,-0.0938999682430328,0.1036309071316957,105,0.481651376146789,8,1.9608080045506104,0.0,2.5,gross_underlying,False,0.5899082568807339,24,0.1198984073041455,0.007747848052906292
218,0.1129777298173206,0.111099104472678,0.0854400348792706,1.3003167031668998,6.990436333450417,-0.0946059383201658,0.1044914499932079,116,0.5321100917431193,14,2.355599011645815,0.0,2.5,net25_underlying,False,0.5899082568807339,24,0.1198984073041455,-0.0069206774868249
